No.,Food Item,Category,1 Serving Size,Total Weight (g),Protein (g),Fats (g),Carbohydrates (g),Calories (kcal),Breakfast,Snack 1,Lunch,Snack 2,Dinner,User Preference,Source
234,Plain Corn Flakes,Grains,1 cup,27.38,1.84,0.19,24.74,109.79,1,1,0,1,0,0.5,Duplicate
235,Hard Goat Milk Cheese,Dairy,2 tbsp,27.76,8.49,10.06,0.61,125.78,1,0,0,0,0,1.0,Duplicate
236,Cream Cheese,Dairy,2 tbsp,15.37,0.88,5.01,0.6,49.82,0,0,0,0,0,1.0,Duplicate
237,Wheat Grains/Berries,Grains,1 cup,193.81,0.0,0.0,0.0,0.45,1,1,0,1,0,0.0,Duplicate
238,Banana Chips,Fruits,2 tbsp,27.58,0.61,9.27,16.38,151.83,0,1,0,1,1,0.75,Duplicate
239,Orange,Fruits,1 medium one,127.7,1.2,0.2,15.69,67.67,0,1,0,1,1,0.25,Duplicate
240,Mushroom,Vegetables,Sliced (1 cup),71.43,2.22,0.2,2.34,20.48,0,0,0,0,0,0.25,Duplicate
241,Pineapple,Fruits,1 cup (chunks),152.45,0.82,0.2,19.85,85.6,0,1,0,1,1,0.5,Duplicate
242,Chicken Liver,Protein,3 medium pieces,85.75,20.37,4.69,0.77,128.55,0,0,1,0,1,1.0,Duplicate
243,Tabbouleh,Vegetables,2 tbsp,27.52,1.02,2.03,1.95,32.02,0,0,0,0,1,0.0,Duplicate
244,Duck Egg,Protein,1 egg,69.4,8.93,9.71,1.02,126.47,1,0,0,0,0,1.0,Duplicate
245,Cooked Quail,Protein,Palm-sized portion,87.54,20.67,11.77,0.0,190.35,0,0,0,0,1,1.0,Duplicate
246,Baby Carrot,Vegetables,1 medium one,10.24,0.1,0.0,0.81,5.53,0,0,0,0,0,0.0,Duplicate
247,Plain Cake (Muffin),Grains,1 large size,64.04,4.49,7.33,27.09,191.5,1,1,0,1,0,0.75,Duplicate
248,Cooked Noodles,Grains,1 cup,164.24,7.44,2.33,40.32,212.31,0,1,1,1,1,0.0,Duplicate
249,Cream Cheese,Dairy,2 tbsp,15.43,0.88,5.0,0.6,50.37,0,0,0,0,0,1.0,Duplicate
250,Oatmeal Bread,Grains,1 small slice,27.49,2.33,1.2,13.19,74.41,1,1,0,1,0,0.0,Duplicate
251,Cucumber,Vegetables,1 large piece,304.92,2.05,0.29,11.12,57.29,0,0,0,0,0,1.0,Duplicate
252,Lupin Beans,Vegetables,1 cup,169.1,25.67,4.82,16.74,211.39,1,0,1,0,1,1.0,Duplicate
253,Labneh (Strained Yogurt),Dairy,1 cup,102.07,12.99,10.59,1.0,149.86,1,0,0,0,0,0.5,Duplicate
254,Scrambled Egg with Milk,Protein,1 egg,61.9,6.71,7.28,1.33,97.84,1,0,1,0,0,1.0,Duplicate
255,Canned Olive,Vegetables,1 piece,8.44,0.08,0.56,0.47,6.01,0,0,0,0,0,1.0,Duplicate
256,Ta'ameya (Falafel),Vegetables,1 piece,17.19,2.3,2.96,5.28,58.1,1,0,0,0,0,1.0,Duplicate
257,Canned Sweetened Condensed Milk,Dairy,2 tbsp,39.04,3.03,3.27,20.58,125.35,1,0,0,0,0,0.5,Duplicate
258,White Rice Flour,Grains,1 cup,155.43,9.33,2.26,127.46,565.52,1,1,0,1,0,1.0,Duplicate
259,Yellow Beans,Vegetables,1 cup,182.29,16.18,1.88,44.8,260.34,1,0,0,0,0,0.25,Duplicate
260,Fat-Free Mozzarella Cheese,Dairy,2 tbsp,27.7,8.68,0.0,0.99,39.83,0,0,0,0,0,0.25,Duplicate
261,Low-Fat Milk,Dairy,1 cup,251.01,8.34,4.69,11.63,120.41,1,0,0,0,0,0.25,Duplicate
262,Chicken Egg,Protein,1 egg,49.1,6.31,5.07,0.39,72.42,1,0,0,0,0,0.5,Duplicate
263,Corn Flour,Grains,1 cup,116.24,0.0,0.2,0.0,1.87,0,0,0,0,0,0.25,Duplicate
264,Spinach,Vegetables,1 cup,30.2,0.88,0.1,1.1,7.6,1,0,0,0,0,0.75,Duplicate
265,Halloumi Cheese,Dairy,1 cup,102.47,16.39,29.04,8.42,358.91,0,0,0,0,0,1.0,Duplicate
266,Grated Parmesan Cheese,Dairy,1 tsp,4.91,1.91,1.43,0.2,20.48,0,0,0,0,0,0.75,Duplicate
267,Low-Fat Vanilla Yogurt,Dairy,1 cup,227.83,11.06,2.77,31.28,195.55,1,0,0,0,0,0.75,Duplicate
268,Sausage,Protein,1 piece,57.11,6.8,16.52,1.0,180.53,0,0,0,0,0,0.25,Duplicate
269,Cooked Noodles,Grains,1 cup,156.9,7.38,2.35,38.68,204.7,0,1,1,1,1,0.75,Duplicate
270,Fried Chicken Breast,Protein,1/2 small chicken breast,87.53,28.4,3.97,0.41,151.94,0,0,1,0,1,0.5,Duplicate
271,Mango,Fruits,1 medium one,201.71,1.08,0.6,34.73,150.26,0,1,0,1,1,0.25,Duplicate
272,White Beans,Vegetables,1 cup,178.08,17.81,0.6,46.04,259.22,1,0,0,0,1,0.0,Duplicate
273,Low-Fat Chocolate Milk,Dairy,1 cup,249.9,7.7,4.85,29.91,193.8,1,0,0,0,0,0.5,Duplicate
274,Low-Fat Ricotta Cheese,Dairy,1 cup,124.68,14.0,10.06,6.49,171.53,0,0,0,0,0,1.0,Duplicate
275,Bread Crumbs,Grains,1 cup,110.37,14.19,5.63,79.98,426.54,1,1,0,1,0,0.0,Duplicate
276,Pigeon,Protein,Palm-sized portion,99.1,22.03,3.22,0.0,115.38,0,0,0,0,0,0.75,Duplicate
277,Lemon Peel,Fruits,1 tsp,5.97,0.1,0.0,1.0,2.95,0,1,0,1,1,1.0,Duplicate
278,White Bread Roll,Grains,1 medium roll,28.27,0.0,0.0,0.0,1.56,1,1,1,1,0,1.0,Duplicate
279,Sheri Fish (Emperor),Protein,Palm-sized portion,102.94,20.01,1.1,0.0,89.4,0,0,0,0,0,0.5,Duplicate
280,Green Beans,Vegetables,1 cup,107.67,2.05,0.1,7.96,40.81,1,0,0,0,1,0.25,Duplicate
281,Boiled Ground Beef,Protein,2 tbsp,84.82,20.97,17.41,0.0,239.26,1,0,0,0,1,0.25,Duplicate
282,Red Snapper Fish,Protein,Palm-sized portion,83.45,22.22,1.45,0.0,103.21,0,0,0,0,1,0.0,Duplicate
283,Rice Bran,Grains,1 cup,119.94,15.39,24.94,57.99,516.14,1,1,0,1,0,0.0,Duplicate
284,Shrimp,Protein,5-6 pieces,97.39,20.03,0.8,0.0,87.45,0,0,0,0,1,0.5,Duplicate
285,Grilled Gargafan Fish,Protein,Palm-sized portion,99.76,23.04,1.77,0.0,108.29,0,0,0,0,1,0.75,Duplicate
286,Grated Parmesan Cheese,Dairy,1 tsp,4.94,1.89,1.42,0.2,20.22,0,0,0,0,0,0.75,Duplicate
287,Butter Croissant,Grains,1 medium piece,57.46,4.58,11.72,26.86,230.37,1,1,0,1,0,0.0,Duplicate
288,Plain Cake (Muffin),Grains,1 large size,64.05,4.42,7.21,27.5,190.83,1,1,0,1,0,1.0,Duplicate
289,Grape Leaves,Vegetables,1 cup,13.88,0.78,0.3,2.35,16.73,0,0,0,0,0,1.0,Duplicate
290,White Rice Flour,Grains,1 cup,155.32,9.15,2.16,125.59,557.18,1,1,0,1,0,0.25,Duplicate
291,Baby Carrot,Vegetables,1 medium one,10.18,0.1,0.0,0.79,2.38,0,0,0,0,0,0.5,Duplicate
292,Cheddar Cheese,Dairy,2 tbsp,28.6,7.02,9.56,0.4,117.06,0,0,0,0,0,1.0,Duplicate
293,Mayonnaise,Fats and Oils,1 tsp,14.39,0.13,4.91,3.57,59.4,0,0,0,0,0,0.25,Duplicate
294,Pigeon without Skin,Protein,Palm-sized portion,83.42,14.99,6.42,0.0,115.95,0,0,0,0,0,0.0,Duplicate
295,Soft Goat Milk Cheese,Dairy,2 tbsp,28.57,5.26,6.04,0.2,76.08,1,0,0,0,0,0.75,Duplicate
296,Black Beans,Vegetables,1 cup,159.29,14.09,4.1,44.0,270.64,1,0,0,0,0,0.0,Duplicate
297,Sheep's Milk,Dairy,1 cup,243.83,14.48,17.47,12.95,268.62,1,0,0,0,0,0.5,Duplicate
298,Grilled Yanam Fish,Protein,Palm-sized portion,101.39,26.11,5.45,0.0,154.67,0,0,0,0,1,0.75,Duplicate
299,Red Snapper Fish,Protein,Palm-sized portion,85.71,22.88,1.44,0.0,103.12,0,0,0,0,1,0.25,Duplicate
300,Blackberries,Fruits,1 cup,145.18,2.0,0.69,14.2,71.9,0,1,0,1,1,0.0,Duplicate
301,Peach,Fruits,1 medium one,154.21,1.43,0.39,14.53,67.01,0,1,0,1,1,0.25,Duplicate
302,Red Hot Pepper,Vegetables,1 piece,44.69,0.8,0.2,3.94,20.97,0,0,0,0,0,0.75,Duplicate
303,Milk Powder,Dairy,2 tbsp,31.07,8.26,8.65,11.94,158.12,0,0,0,0,0,0.75,Duplicate
304,Toast Cubes,Grains,1 cup,30.39,3.57,2.06,22.44,123.97,1,1,0,1,0,1.0,Duplicate
305,Cooked Oats,Grains,1 cup,221.69,6.93,1.85,25.01,142.49,1,1,0,1,0,0.0,Duplicate
306,Corn Bran,Grains,1 cup,76.08,6.54,0.72,65.97,295.7,1,1,0,1,0,0.75,Duplicate
307,Wheat Biscuit,Grains,1 piece,1.96,0.17,0.42,1.29,7.92,1,1,1,1,0,0.0,Duplicate
308,Sour Cherries,Fruits,1 cup,101.1,0.98,0.3,12.66,55.36,0,1,0,1,1,0.25,Duplicate
309,Purslane,Vegetables,1 cup,43.15,0.59,0.0,1.49,9.94,0,0,0,0,0,1.0,Duplicate
310,Coriander (Cilantro),Vegetables,9 sprigs,20.59,0.4,0.1,0.69,5.74,0,0,0,0,0,1.0,Duplicate
311,Hamour Fish (Grouper),Protein,Palm-sized portion,99.66,19.23,3.49,0.21,107.98,0,0,0,0,0,0.25,Duplicate
312,Olive Oil,Fats and Oils,1 tsp,13.35,0.0,13.8,0.0,125.12,0,0,0,0,0,0.5,Duplicate
313,Low-Fat Milk,Dairy,1 cup,237.72,8.28,4.76,11.07,120.27,1,0,0,0,0,0.5,Duplicate
314,Sweet Potato,Vegetables,1 medium one,128.39,1.98,0.1,26.71,117.38,1,0,0,0,1,0.5,Duplicate
315,Beetroot,Vegetables,Sliced (1/2 cup),68.38,1.07,0.1,6.56,32.4,0,0,0,0,0,0.5,Duplicate
316,Corn Flakes,Grains,1 cup,170.93,15.25,7.72,126.54,635.27,1,1,0,1,0,0.5,Duplicate
317,French Bread (Baguette),Grains,1 small slice,32.53,3.75,0.61,17.67,91.81,1,1,0,1,0,0.0,Duplicate
318,Honey,Grains,1 tbsp,21.37,0.06,0.0,17.3,69.74,0,1,0,1,0,0.75,Duplicate
319,Cooked Veal,Protein,3 small pieces,83.33,24.43,7.79,0.0,168.67,0,0,0,0,1,0.5,Duplicate
320,Parsley,Vegetables,10 sprigs,10.08,0.3,0.1,0.6,5.17,0,0,0,0,0,1.0,Duplicate
321,Tomato Paste,Vegetables,168 grams (1 can),166.65,7.5,0.78,32.97,170.2,0,0,0,0,0,0.5,Duplicate
322,Celery,Vegetables,1 medium stalk,39.16,0.31,0.1,1.22,5.02,0,0,0,0,0,0.75,Duplicate
323,Kingfish,Protein,Palm-sized portion,102.69,19.81,9.31,0.0,164.31,0,0,0,0,0,0.0,Duplicate
324,Banana,Fruits,1 medium one,116.89,1.31,0.4,26.94,118.01,0,1,0,1,1,0.5,Duplicate
325,Turkey Egg,Protein,1 egg,76.87,10.83,9.45,0.89,131.04,1,0,0,0,0,0.5,Duplicate
326,Canned Chicken,Protein,1 can,146.14,31.55,11.45,0.0,227.3,0,0,0,0,1,0.25,Duplicate
327,Lentils,Vegetables,1 cup,202.95,18.35,0.81,39.52,238.72,0,0,0,0,0,0.25,Duplicate
328,Canned Olive,Vegetables,1 piece,8.27,0.08,0.57,0.47,9.03,0,0,0,0,0,0.5,Duplicate
329,Brown Bread Roll,Grains,1 medium roll,35.18,0.0,0.0,0.0,0.0,1,1,1,1,0,0.0,Duplicate
330,Margarine (Salted),Fats and Oils,1 tsp,4.73,0.04,3.84,0.04,34.38,0,0,0,0,0,1.0,Duplicate
331,Egg White,Protein,1 egg white,32.97,3.5,0.1,0.2,15.15,1,0,0,0,0,0.75,Duplicate
332,Pear,Fruits,1 medium one,165.42,0.61,0.2,26.24,107.97,0,1,0,1,1,0.0,Duplicate
333,Cantaloupe,Fruits,1 cup (chunks),180.68,1.54,0.3,14.61,68.64,0,1,0,1,1,1.0,Duplicate
334,Dried Egg,Protein,1 tsp,5.07,2.38,2.14,0.1,30.05,1,0,0,0,0,0.5,Duplicate
335,Fried Shrimp,Protein,3-4 medium pieces,85.82,18.4,10.41,9.48,206.72,0,0,1,0,1,1.0,Duplicate
336,Purslane,Vegetables,1 cup,42.61,0.61,0.0,1.52,6.87,0,0,0,0,0,0.75,Duplicate
337,Butter Croissant,Grains,1 medium piece,58.34,4.57,11.9,25.78,227.73,1,1,0,1,0,0.5,Duplicate
338,Boiled Egg,Protein,1 egg,49.19,6.21,5.37,0.6,74.64,1,0,0,0,0,0.25,Duplicate
339,Gargafan Fish (Sea Bream),Protein,Palm-sized portion,98.54,19.97,3.74,0.39,115.8,1,0,0,0,1,0.25,Duplicate
340,Full-Fat Milk,Dairy,1/3 cup,100.0,3.45,2.92,5.52,60.41,0,0,0,0,0,0.75,Duplicate
341,Beetroot,Vegetables,Sliced (1/2 cup),67.2,1.1,0.1,6.56,30.57,0,0,0,0,0,0.0,Duplicate
342,Corn Flakes,Grains,1 cup,167.59,15.72,7.92,120.97,618.76,1,1,0,1,0,0.25,Duplicate
343,Dried Pear,Fruits,10 halves,174.25,3.31,1.09,124.47,521.98,0,1,0,1,1,0.5,Duplicate
344,Asparagus,Vegetables,1 cup,133.93,2.82,0.2,5.16,33.85,0,0,0,0,1,0.25,Duplicate
345,Green Peas,Vegetables,1 cup,156.29,8.67,0.41,24.36,137.1,1,0,0,0,0,0.5,Duplicate
346,Mango,Fruits,1 medium one,207.09,1.12,0.62,34.79,150.32,0,1,0,1,1,0.5,Duplicate
347,Tomato Paste,Vegetables,168 grams (1 can),166.58,7.49,0.8,31.23,162.38,0,0,0,0,0,0.25,Duplicate
348,Roasted Duck without Skin,Protein,Palm-sized portion,86.19,20.52,9.48,0.0,165.8,1,0,0,0,1,0.75,Duplicate
349,Plain Corn Flakes,Grains,1 cup,28.81,1.82,0.2,24.31,105.09,1,1,0,1,0,0.0,Duplicate
350,Pigeon,Protein,Palm-sized portion,98.12,21.86,3.32,0.0,116.15,0,0,0,0,0,0.25,Duplicate
351,Boobar,Vegetables,1 cup,32.95,0.29,0.0,1.08,7.09,0,0,0,0,0,1.0,Duplicate
352,Fried Egg,Protein,1 egg,45.04,6.41,7.04,0.39,91.25,1,0,0,0,0,1.0,Duplicate
353,Dried Apricot,Fruits,1 cup (halves),64.98,2.15,0.29,41.77,178.03,0,1,0,1,1,0.5,Duplicate
354,Brown Rice Flour,Grains,1 cup,153.9,11.72,4.32,121.82,573.93,1,1,0,1,0,1.0,Duplicate
355,Evaporated Milk,Dairy,6 tbsp,98.57,7.2,8.0,9.41,138.64,1,0,0,0,0,0.75,Duplicate
356,Roasted Duck without Skin,Protein,Palm-sized portion,84.99,19.87,9.53,0.0,165.81,1,0,0,0,1,0.75,Duplicate
357,Roasted Duck without Skin,Protein,Palm-sized portion,84.65,20.0,9.53,0.0,165.72,1,0,0,0,1,1.0,Duplicate
358,Lupin Beans,Vegetables,1 cup,170.59,25.45,4.92,16.67,214.64,1,0,1,0,1,0.5,Duplicate
359,Cottage Cheese < 5% Fat,Dairy,1 cup,219.25,22.77,0.72,15.16,159.37,1,0,0,0,0,0.5,Duplicate
360,Mango,Fruits,1 medium one,205.8,1.09,0.61,34.89,149.86,0,1,0,1,1,0.0,Duplicate
361,Leek (Greens),Vegetables,4 tsp,40.1,0.98,0.0,6.5,31.42,1,0,0,0,0,0.0,Duplicate
362,Grilled Safi Fish,Protein,Palm-sized portion,100.88,26.98,4.37,0.0,146.06,0,0,0,0,1,1.0,Duplicate
363,White Flour,Grains,1 cup,126.07,12.13,1.24,95.16,438.34,1,0,0,0,0,0.25,Duplicate
364,Wheat Grains/Berries,Grains,1 cup,187.27,0.0,0.0,0.0,1.04,1,1,0,1,0,0.25,Duplicate
365,Baby Carrot,Vegetables,1 medium one,9.76,0.1,0.0,0.82,4.76,0,0,0,0,0,0.25,Duplicate
366,Gargafan Fish (Sea Bream),Protein,Palm-sized portion,102.91,19.54,3.72,0.41,112.18,1,0,0,0,1,0.75,Duplicate
367,Lemon,Fruits,1 medium one,58.22,0.59,0.2,5.52,26.75,0,1,0,1,1,1.0,Duplicate
368,Fat-Free Cream Cheese,Dairy,2 tbsp,28.12,4.29,0.29,2.12,29.45,1,0,0,0,0,1.0,Duplicate
369,Quinoa,Grains,1 cup,173.57,23.52,10.45,110.74,633.02,1,1,0,1,0,0.25,Duplicate
370,Sweet Cherries,Fruits,1 cup,117.42,1.18,0.2,18.46,81.87,0,1,0,1,1,0.0,Duplicate
371,Sweet Canned Corn,Vegetables,1 cup,168.85,4.42,1.65,30.98,155.97,0,0,0,0,0,1.0,Duplicate
372,Sour Pickled Cucumber,Vegetables,1 slice,6.89,0.02,0.01,0.16,1.94,0,0,0,0,0,1.0,Duplicate
373,Turnip,Vegetables,1 cup sliced,65.25,2.16,0.5,6.67,41.03,0,0,0,0,0,1.0,Duplicate
374,Ghoj (Maybe Plum/Gojiberry),Fruits,1 medium one,67.88,0.51,0.2,7.29,33.07,0,1,0,1,1,0.0,Duplicate
375,Sweet Canned Corn,Vegetables,1 cup,163.26,4.36,1.63,30.24,152.11,0,0,0,0,0,0.5,Duplicate
376,Sweet Potato,Vegetables,1 medium one,131.11,1.98,0.1,25.42,110.79,1,0,0,0,1,0.5,Duplicate
377,Grilled Gargafan Fish,Protein,Palm-sized portion,101.16,23.47,1.75,0.0,109.37,0,0,0,0,1,1.0,Duplicate
378,Sweetened Corn Flakes,Grains,1 cup,38.62,2.02,0.53,33.45,145.99,1,1,0,1,0,0.0,Duplicate
379,Fried Ground Beef,Protein,2 tbsp,87.54,19.76,19.77,0.0,255.73,0,0,0,0,1,0.5,Duplicate
380,Fried Pigeon,Protein,Palm-sized portion,97.82,27.33,4.11,0.0,145.84,0,0,0,0,0,0.5,Duplicate
381,Cooked Meat Liver,Protein,4 medium pieces,84.86,22.24,6.67,6.52,176.99,0,0,0,0,1,1.0,Duplicate
382,Dried Apple,Fruits,1 slice,97.01,0.92,0.3,65.73,267.95,0,1,0,1,1,0.25,Duplicate
383,Olive Oil,Fats and Oils,1 tsp,13.14,0.0,13.64,0.0,121.78,0,0,0,0,0,0.0,Duplicate
384,Beans (General),Vegetables,1 cup,172.77,15.11,0.88,39.27,226.3,0,0,0,0,0,0.25,Duplicate
385,Milk Powder,Dairy,2 tbsp,31.56,8.64,8.47,12.61,160.22,0,0,0,0,0,0.0,Duplicate
386,Cooked Pasta,Grains,1 cup,142.83,6.62,0.95,40.85,199.5,0,0,0,0,1,0.75,Duplicate
387,Fresh Corn,Vegetables,1/2 cup,138.15,3.65,1.02,39.94,182.86,1,0,0,0,0,1.0,Duplicate
388,Cooked Quail,Protein,Palm-sized portion,86.24,21.54,12.19,0.0,196.06,0,0,0,0,1,1.0,Duplicate
389,Leek (Greens),Vegetables,1 bunch (1 cup),88.42,1.32,0.29,12.23,58.77,1,0,0,0,0,1.0,Duplicate
390,Grilled Safi Fish,Protein,Palm-sized portion,97.78,26.94,4.17,0.0,144.76,0,0,0,0,1,0.5,Duplicate
391,Brown Rice Flour,Grains,1 cup,162.41,11.55,4.36,117.33,555.92,1,1,0,1,0,0.0,Duplicate
392,Cranberries,Fruits,1 cup,96.47,0.41,0.1,11.85,51.64,0,1,0,1,1,0.0,Duplicate
393,Grated Parmesan Cheese,Dairy,1 tsp,4.86,1.88,1.38,0.2,20.64,0,0,0,0,0,0.0,Duplicate
394,Fried Ground Beef,Protein,2 tbsp,83.64,20.11,18.79,0.0,248.31,0,0,0,0,1,0.75,Duplicate
395,Yellow Beans,Vegetables,1 cup,180.33,16.33,1.88,45.29,261.99,1,0,0,0,0,0.75,Duplicate
396,Canned Fat-Free Evaporated Milk,Dairy,2 tbsp,32.49,2.44,0.1,3.66,24.5,1,0,0,0,0,0.0,Duplicate
397,Tomato Paste,Vegetables,168 grams (1 can),166.0,7.4,0.78,32.84,166.63,0,0,0,0,0,0.25,Duplicate
398,Fat-Free Cream Cheese,Dairy,2 tbsp,28.08,4.53,0.29,2.12,29.43,1,0,0,0,0,0.75,Duplicate
399,Corn Bran,Grains,1 cup,75.99,6.26,0.72,64.57,290.0,1,1,0,1,0,0.5,Duplicate
400,Green Peas,Vegetables,1 cup,160.83,8.86,0.4,24.63,138.78,1,0,0,0,0,0.75,Duplicate
401,Onion,Vegetables,1 cup (chopped),158.09,1.76,0.2,14.73,65.93,0,0,0,0,0,0.75,Duplicate
402,Lupin Beans,Vegetables,1 cup,168.29,26.03,4.87,16.82,214.72,1,0,1,0,1,0.5,Duplicate
403,Soybean,Vegetables,1 cup,168.87,28.73,15.74,16.69,323.27,1,0,0,0,0,0.0,Duplicate
404,Fried Ground Beef,Protein,2 tbsp,85.49,19.92,19.64,0.0,256.77,0,0,0,0,1,0.25,Duplicate
405,Labneh (Strained Yogurt),Dairy,1 cup,99.18,13.28,10.53,0.97,153.48,1,0,0,0,0,1.0,Duplicate
406,Sour Cherries,Fruits,1 cup,104.61,1.01,0.29,12.45,57.62,0,1,0,1,1,0.5,Duplicate
407,Cantaloupe,Fruits,1 cup (chunks),177.33,1.49,0.31,14.71,65.89,0,1,0,1,1,0.25,Duplicate
408,Turnip,Vegetables,1 cup sliced,68.11,2.16,0.51,6.72,40.15,0,0,0,0,0,1.0,Duplicate
409,Sour Cherries,Fruits,1 cup,103.91,0.99,0.31,12.69,55.96,0,1,0,1,1,0.0,Duplicate
410,Grilled Gargafan Fish,Protein,Palm-sized portion,101.42,22.43,1.75,0.0,104.44,0,0,0,0,1,0.5,Duplicate
411,Sweet Cherries,Fruits,1 cup,117.92,1.18,0.2,18.99,80.59,0,1,0,1,1,0.0,Duplicate
412,Sweet Cherries,Fruits,1 cup,115.21,1.21,0.2,19.02,82.67,0,1,0,1,1,0.75,Duplicate
413,Parsley,Vegetables,10 sprigs,9.77,0.3,0.1,0.6,4.41,0,0,0,0,0,0.25,Duplicate
414,Blueberries,Fruits,1 cup,147.91,1.12,0.51,20.78,90.77,0,1,0,1,1,0.5,Duplicate
415,Oatmeal Flour,Grains,2 tbsp,28.05,3.6,1.78,19.18,106.94,1,1,0,1,0,0.75,Duplicate
416,Ghoj (Maybe Plum/Gojiberry),Fruits,1 medium one,66.69,0.49,0.21,7.56,32.94,0,1,0,1,1,0.75,Duplicate
417,Fat-Free Cream Cheese,Dairy,2 tbsp,27.51,4.35,0.29,2.12,28.31,1,0,0,0,0,0.25,Duplicate
418,Fried Sheri Fish,Protein,Palm-sized portion,100.52,25.87,6.84,0.0,163.12,0,0,0,0,1,0.75,Duplicate
419,Ta'ameya (Falafel),Vegetables,1 piece,16.51,2.35,3.07,5.32,57.76,1,0,0,0,0,0.5,Duplicate
420,Sunflower Oil,Fats and Oils,1 tsp,13.55,0.0,13.52,0.0,121.34,0,0,0,0,0,0.75,Duplicate
421,Halloumi Cheese,Dairy,1 cup,100.17,16.7,28.63,8.08,356.5,0,0,0,0,0,0.25,Duplicate
422,Full-Fat Milk,Dairy,1/3 cup,98.49,3.45,2.97,5.36,63.59,0,0,0,0,0,1.0,Duplicate
423,Orange Peel,Fruits,1 tsp,5.89,0.1,0.0,1.51,4.51,0,1,0,1,1,0.5,Duplicate
424,Dried Apple,Fruits,1 slice,98.46,0.9,0.3,63.98,262.21,0,1,0,1,1,0.5,Duplicate
425,Canned Salmon,Protein,Palm-sized portion,85.48,17.69,6.15,0.0,127.67,0,0,0,0,0,0.25,Duplicate
426,Sweet Cherries,Fruits,1 cup,117.71,1.22,0.2,18.53,80.32,0,1,0,1,1,0.25,Duplicate
427,Palm Oil,Fats and Oils,1 tsp,13.26,0.0,13.26,0.0,117.43,0,0,0,0,0,1.0,Duplicate
428,Cooked Pasta,Grains,1 cup,136.82,6.81,0.91,40.67,198.55,0,0,0,0,1,0.5,Duplicate
429,Bran Bread,Grains,1/4 loaf,35.72,3.11,1.17,17.22,92.77,1,1,0,1,0,0.25,Duplicate
430,Yanam Fish (Seerfish/Mackerel),Protein,Palm-sized portion,102.21,18.3,10.1,0.0,164.58,0,0,0,0,0,0.25,Duplicate
431,Parsley,Vegetables,10 sprigs,9.79,0.3,0.1,0.61,4.11,0,0,0,0,0,0.5,Duplicate
432,Peach,Fruits,1 medium one,149.6,1.36,0.41,14.65,65.8,0,1,0,1,1,0.25,Duplicate
433,Fried Ground Beef,Protein,2 tbsp,84.16,19.9,19.39,0.0,255.66,0,0,0,0,1,0.5,Duplicate
434,Low-Fat Cream Cheese,Dairy,2 tbsp,28.11,2.25,4.21,2.3,57.02,1,0,0,0,0,0.0,Duplicate
435,Cooked Veal,Protein,3 small pieces,85.92,23.68,7.92,0.0,165.03,0,0,0,0,1,0.0,Duplicate
436,Dried Apple,Fruits,1 slice,97.84,0.88,0.3,63.18,259.7,0,1,0,1,1,0.75,Duplicate
437,Blackberries,Fruits,1 cup,144.13,1.96,0.7,13.48,69.27,0,1,0,1,1,0.0,Duplicate
438,Pigeon,Protein,Palm-sized portion,101.79,21.71,3.31,0.0,117.09,0,0,0,0,0,1.0,Duplicate
439,Ghoj (Maybe Plum/Gojiberry),Fruits,1 medium one,66.32,0.5,0.21,7.62,34.1,0,1,0,1,1,0.5,Duplicate
440,Dried Egg,Protein,1 tsp,5.03,2.41,2.22,0.1,31.15,1,0,0,0,0,0.25,Duplicate
441,Chicken Liver,Protein,3 medium pieces,86.14,20.63,4.71,0.75,125.94,0,0,1,0,1,0.75,Duplicate
442,White Bread,Grains,1/4 loaf,25.59,1.89,0.78,12.63,66.98,1,1,0,1,0,0.75,Duplicate
443,Apricot,Fruits,3 pieces,102.96,1.47,0.4,11.56,57.3,0,1,0,1,1,0.0,Duplicate
444,Oatmeal Flour,Grains,2 tbsp,28.61,3.68,1.85,19.19,109.55,1,1,0,1,0,1.0,Duplicate
445,Brown Sugar,Grains,1 tsp,3.06,0.0,0.0,2.85,12.06,1,1,0,1,0,0.25,Duplicate
446,Fried Egg,Protein,1 egg,45.31,6.45,7.11,0.41,92.69,1,0,0,0,0,0.5,Duplicate
447,Canned Fat-Free Evaporated Milk,Dairy,2 tbsp,31.37,2.46,0.1,3.59,24.09,1,0,0,0,0,0.0,Duplicate
448,Pear,Fruits,1 medium one,166.09,0.6,0.2,25.38,104.43,0,1,0,1,1,1.0,Duplicate
449,Canned Chicken,Protein,1 can,141.06,31.79,11.27,0.0,230.54,0,0,0,0,1,0.75,Duplicate
450,Goat's Milk,Dairy,1 cup,239.72,8.55,10.26,10.8,167.76,0,0,0,0,0,0.25,Duplicate
451,Boiled Ground Beef,Protein,2 tbsp,85.25,20.53,17.97,0.0,244.69,1,0,0,0,1,0.75,Duplicate
452,Spinach,Vegetables,1 cup,30.83,0.88,0.1,1.1,7.94,1,0,0,0,0,0.0,Duplicate
453,Low-Fat Cream Cheese,Dairy,2 tbsp,27.52,2.16,4.37,2.26,57.17,1,0,0,0,0,0.5,Duplicate
454,Cooked Noodles,Grains,1 cup,163.37,7.76,2.36,38.65,207.05,0,1,1,1,1,1.0,Duplicate
455,Oatmeal Flour,Grains,2 tbsp,28.62,3.5,1.81,19.21,108.74,1,1,0,1,0,0.75,Duplicate
456,Vegetable Salad,Vegetables,1 cup,97.64,0.93,1.83,4.61,39.07,0,0,1,0,0,0.25,Duplicate
