No.,Food Item,Category,1 Serving Size,Total Weight (g),Protein (g),Fats (g),Carbohydrates (g),Calories (kcal),Breakfast,Snack 1,Lunch,Snack 2,Dinner,User Preference,Source
1386,Coriander (Cilantro),Vegetables,9 sprigs,19.64,0.39,0.1,0.69,5.46,0,0,0,0,0,1.0,Duplicate
1387,Cooked Oats,Grains,1 cup,219.01,6.83,1.88,24.55,142.15,1,1,0,1,0,1.0,Duplicate
1388,Leek (Greens),Vegetables,1 bunch (1 cup),87.35,1.29,0.31,12.46,56.95,1,0,0,0,0,0.75,Duplicate
1389,Dried Apricot,Fruits,1 cup (halves),63.4,2.16,0.31,39.69,169.38,0,1,0,1,1,0.0,Duplicate
1390,Fried Kingfish,Protein,Palm-sized portion,101.38,26.06,11.99,0.0,212.32,0,0,0,0,1,1.0,Duplicate
1391,Cheese Bread,Grains,1 piece,64.91,4.66,12.0,28.21,240.22,1,1,1,1,0,0.0,Duplicate
1392,Low-Fat Milk,Dairy,1 cup,249.69,7.93,4.87,11.1,121.09,1,0,0,0,0,0.25,Duplicate
1393,Brown Bread Roll,Grains,1 medium roll,35.5,0.0,0.0,0.0,0.0,1,1,1,1,0,0.0,Duplicate
1394,Sweet Potato,Vegetables,1 medium one,132.74,1.97,0.1,26.54,116.87,1,0,0,0,1,0.75,Duplicate
1395,White Rice Flour,Grains,1 cup,161.54,9.32,2.14,125.56,558.9,1,1,0,1,0,0.0,Duplicate
1396,Soybean,Vegetables,1 cup,171.88,28.89,15.46,16.8,320.2,1,0,0,0,0,0.5,Duplicate
1397,Taro,Vegetables,1 cup,104.83,1.57,0.2,27.34,115.82,0,0,0,0,0,1.0,Duplicate
1398,Salted Cracker/Biscuit,Grains,1 piece,2.93,0.22,0.77,1.85,13.9,1,1,0,1,0,0.5,Duplicate
1399,Goose Egg,Protein,1 egg,147.07,19.78,19.66,1.85,264.29,1,0,0,0,0,0.0,Duplicate
1400,Salted Cracker/Biscuit,Grains,1 piece,3.09,0.22,0.76,1.8,13.07,1,1,0,1,0,0.75,Duplicate
1401,Sour Cherries,Fruits,1 cup,103.64,1.01,0.31,12.29,56.26,0,1,0,1,1,0.75,Duplicate
1402,Omelette,Protein,1 egg,61.54,6.33,7.2,0.41,89.79,1,0,0,0,0,0.5,Duplicate
1403,Low-Fat Strawberry Yogurt,Dairy,1 cup,222.93,8.99,2.59,43.14,232.25,1,0,0,0,0,0.25,Duplicate
1404,Cheese Bread,Grains,1 piece,64.13,4.63,12.1,29.34,243.27,1,1,1,1,0,0.0,Duplicate
1405,Coriander (Cilantro),Vegetables,9 sprigs,20.6,0.39,0.1,0.7,7.09,0,0,0,0,0,0.0,Duplicate
1406,Full-Fat Milk,Dairy,1/3 cup,100.17,3.44,2.95,5.48,60.38,0,0,0,0,0,1.0,Duplicate
1407,Guava,Fruits,1 medium one,88.62,2.26,0.88,13.01,68.66,0,1,0,1,1,0.0,Duplicate
1408,Dried Egg,Protein,1 tsp,5.02,2.47,2.15,0.1,28.57,1,0,0,0,0,0.5,Duplicate
1409,Baby Carrot,Vegetables,1 medium one,10.12,0.1,0.0,0.78,3.59,0,0,0,0,0,0.0,Duplicate
1410,Grilled Gargafan Fish,Protein,Palm-sized portion,99.61,22.93,1.76,0.0,108.18,0,0,0,0,1,1.0,Duplicate
1411,Toasted White Bread,Grains,1/4 loaf,22.31,1.96,0.9,12.28,64.78,1,1,1,1,0,0.75,Duplicate
1412,Cream Cheese,Dairy,2 tbsp,15.24,0.91,5.07,0.59,49.83,0,0,0,0,0,0.0,Duplicate
1413,Coriander (Cilantro),Vegetables,9 sprigs,20.35,0.4,0.1,0.69,7.09,0,0,0,0,0,0.25,Duplicate
1414,Safi Fish (Rabbitfish),Protein,Palm-sized portion,99.4,18.96,7.14,0.1,142.05,0,0,0,0,0,0.25,Duplicate
1415,Broasted Chicken Thigh,Protein,1 medium chicken thigh,84.16,22.16,11.46,0.0,191.68,1,0,1,0,1,1.0,Duplicate
1416,Taro,Vegetables,1 cup,104.12,1.63,0.2,26.73,114.1,0,0,0,0,0,0.75,Duplicate
1417,Brown Rice Flour,Grains,1 cup,162.5,11.62,4.36,123.6,578.86,1,1,0,1,0,0.5,Duplicate
1418,Canned Fat-Free Evaporated Milk,Dairy,2 tbsp,31.05,2.4,0.1,3.67,24.03,1,0,0,0,0,0.5,Duplicate
1419,Low-Fat Vanilla Yogurt,Dairy,1 cup,231.13,10.92,2.78,31.71,196.29,1,0,0,0,0,0.5,Duplicate
1420,Soft Goat Milk Cheese,Dairy,2 tbsp,28.15,5.15,5.8,0.2,74.48,1,0,0,0,0,1.0,Duplicate
1421,Guava,Fruits,1 medium one,90.12,2.29,0.92,12.77,70.42,0,1,0,1,1,0.75,Duplicate
1422,Pineapple,Fruits,1 cup (chunks),153.95,0.8,0.19,20.71,89.5,0,1,0,1,1,1.0,Duplicate
1423,Peach,Fruits,1 medium one,147.36,1.42,0.4,14.32,68.55,0,1,0,1,1,0.75,Duplicate
1424,Roasted Duck with Skin,Protein,Palm-sized portion,87.34,16.55,24.64,0.0,288.67,1,0,0,0,1,0.25,Duplicate
1425,Grated Parmesan Cheese,Dairy,1 tsp,4.87,1.95,1.41,0.2,21.05,0,0,0,0,0,1.0,Duplicate
1426,Plain Corn Flakes,Grains,1 cup,27.24,1.83,0.2,24.7,106.1,1,1,0,1,0,1.0,Duplicate
1427,Canned Tuna Fish,Protein,Palm-sized portion,84.34,21.35,0.68,0.0,92.75,0,0,0,0,0,1.0,Duplicate
1428,Bran Bread,Grains,1/4 loaf,36.38,3.29,1.17,17.46,92.68,1,1,0,1,0,1.0,Duplicate
1429,Chicken Liver,Protein,3 medium pieces,85.95,20.32,4.64,0.74,125.29,0,0,1,0,1,0.75,Duplicate
1430,Canned Olive,Vegetables,1 piece,8.4,0.08,0.55,0.48,6.18,0,0,0,0,0,0.5,Duplicate
1431,Canned Sweetened Condensed Milk,Dairy,2 tbsp,37.32,3.02,3.29,20.32,121.06,1,0,0,0,0,0.0,Duplicate
1432,Asparagus,Vegetables,1 cup,131.0,2.9,0.2,5.05,32.54,0,0,0,0,1,0.0,Duplicate
1433,Canned Olive,Vegetables,1 piece,8.18,0.08,0.58,0.46,8.34,0,0,0,0,0,0.25,Duplicate
1434,Lentils,Vegetables,1 cup,198.12,18.25,0.79,39.74,240.01,0,0,0,0,0,0.25,Duplicate
1435,Arugula (Rocket),Vegetables,1 cup,34.02,0.79,0.0,0.4,3.55,0,0,0,0,0,1.0,Duplicate
1436,Parsley,Vegetables,10 sprigs,10.13,0.29,0.1,0.61,3.18,0,0,0,0,0,0.0,Duplicate
1437,Full-Fat Milk,Dairy,1/3 cup,100.16,3.54,3.07,5.57,64.76,0,0,0,0,0,0.75,Duplicate
1438,Strawberry Milk,Dairy,1 cup,265.81,7.83,8.2,32.19,232.84,1,0,0,0,0,1.0,Duplicate
1439,Cauliflower,Vegetables,1 cup,102.77,1.95,0.1,5.23,29.06,0,0,0,0,1,0.25,Duplicate
1440,Frozen Peas,Vegetables,1 cup,64.48,1.83,0.1,4.89,26.5,1,0,0,0,0,0.25,Duplicate
1441,Frozen Peas,Vegetables,1 cup,62.42,1.79,0.1,4.81,25.73,1,0,0,0,0,0.25,Duplicate
1442,Pigeon without Skin,Protein,Palm-sized portion,84.54,15.11,6.4,0.0,116.4,0,0,0,0,0,1.0,Duplicate
1443,Palm Oil,Fats and Oils,1 tsp,13.7,0.0,13.87,0.0,125.2,0,0,0,0,0,0.0,Duplicate
1444,Low-Fat Mozzarella Cheese,Dairy,2 tbsp,28.6,6.7,4.46,0.81,70.6,0,0,0,0,0,0.75,Duplicate
1445,Tomato Paste,Vegetables,168 grams (1 can),173.34,7.23,0.8,32.25,164.84,0,0,0,0,0,0.5,Duplicate
1446,Quaker Oats prepared with water,Grains,1 cup,230.37,4.77,2.19,17.82,110.55,1,1,0,1,0,0.25,Duplicate
1447,Onion,Vegetables,1 cup (chopped),158.16,1.84,0.21,14.85,70.1,0,0,0,0,0,0.5,Duplicate
1448,Oatmeal Bread with Bran,Grains,1 small slice,29.18,3.19,1.32,12.24,72.72,1,1,1,1,0,0.25,Duplicate
1449,Low-Fat Cream Cheese,Dairy,2 tbsp,27.24,2.17,4.24,2.33,57.78,1,0,0,0,0,0.5,Duplicate
1450,Fat-Free Mozzarella Cheese,Dairy,2 tbsp,27.46,9.04,0.0,1.0,41.74,0,0,0,0,0,1.0,Duplicate
1451,Grapefruit,Fruits,1/2 medium one,119.76,0.72,0.1,9.25,39.96,0,1,0,1,1,0.0,Duplicate
1452,Kingfish,Protein,Palm-sized portion,100.53,19.22,9.03,0.0,159.25,0,0,0,0,0,0.25,Duplicate
1453,Apricot,Fruits,3 pieces,102.51,1.52,0.39,12.03,57.23,0,1,0,1,1,0.75,Duplicate
1454,Brown Bread,Grains,1/4 loaf,28.52,3.57,0.92,11.66,67.75,1,1,0,1,0,1.0,Duplicate
1455,Corn Flakes,Grains,1 cup,161.72,15.7,7.7,122.24,619.72,1,1,0,1,0,0.0,Duplicate
1456,Roasted Duck with Skin,Protein,Palm-sized portion,83.02,15.8,24.49,0.0,284.85,1,0,0,0,1,0.75,Duplicate
1457,Fried Egg,Protein,1 egg,46.83,6.32,7.11,0.4,89.64,1,0,0,0,0,0.0,Duplicate
1458,Tomato,Vegetables,1 medium one,122.05,1.09,0.2,4.84,25.1,0,0,0,0,0,1.0,Duplicate
1459,Fat-Free Cream Cheese,Dairy,2 tbsp,28.74,4.51,0.31,2.16,30.24,1,0,0,0,0,0.25,Duplicate
1460,Chicken Liver,Protein,3 medium pieces,86.12,20.59,4.52,0.75,127.35,0,0,1,0,1,1.0,Duplicate
1461,Sweet Potato,Vegetables,1 medium one,130.21,1.99,0.1,25.74,111.28,1,0,0,0,1,0.5,Duplicate
1462,Papaya,Fruits,1 medium one,297.94,1.92,0.39,29.4,129.43,0,1,0,1,1,0.25,Duplicate
1463,Dates,Fruits,4 pieces,31.45,0.8,0.1,24.28,101.97,0,1,0,1,1,0.25,Duplicate
1464,Fat-Free Yogurt,Dairy,1 cup,232.36,12.64,0.39,17.36,125.39,1,0,0,0,0,1.0,Duplicate
1465,Halloumi Cheese,Dairy,1 cup,102.53,16.24,29.01,8.3,361.13,0,0,0,0,0,0.25,Duplicate
1466,Turkey Egg,Protein,1 egg,78.05,10.81,9.57,0.92,134.96,1,0,0,0,0,1.0,Duplicate
1467,Soybean,Vegetables,1 cup,176.47,29.13,15.28,16.75,320.58,1,0,0,0,0,0.0,Duplicate
1468,Dried Pear,Fruits,10 halves,176.69,3.36,1.08,125.61,524.11,0,1,0,1,1,0.0,Duplicate
1469,Banana Chips,Fruits,2 tbsp,27.69,0.61,9.43,16.64,153.2,0,1,0,1,1,0.25,Duplicate
1470,Turnip,Vegetables,1 cup sliced,68.79,2.23,0.5,6.7,39.69,0,0,0,0,0,0.75,Duplicate
1471,Fried Kingfish,Protein,Palm-sized portion,101.46,26.48,11.55,0.0,209.1,0,0,0,0,1,1.0,Duplicate
1472,Cooked Pigeon,Protein,Palm-sized portion,84.3,20.1,10.67,0.0,175.1,0,0,0,0,0,0.75,Duplicate
1473,Medium-Soft Goat Milk Cheese,Dairy,2 tbsp,28.5,6.0,8.57,0.68,104.72,1,0,0,0,0,0.0,Duplicate
1474,Potato,Vegetables,1 medium one,218.83,4.26,0.2,37.09,165.51,0,0,0,0,0,0.75,Duplicate
1475,Beans (General),Vegetables,1 cup,178.79,15.7,0.92,40.13,230.45,0,0,0,0,0,0.5,Duplicate
1476,Fat-Free Yogurt,Dairy,1 cup,225.08,12.63,0.4,17.92,124.76,1,0,0,0,0,0.5,Duplicate
1477,Low-Fat Vanilla Yogurt,Dairy,1 cup,221.01,11.27,2.82,30.51,193.88,1,0,0,0,0,0.25,Duplicate
1478,Beans (General),Vegetables,1 cup,179.08,14.92,0.92,40.53,229.57,0,0,0,0,0,0.0,Duplicate
1479,Low-Fat Mozzarella Cheese,Dairy,2 tbsp,27.81,6.84,4.5,0.78,70.45,0,0,0,0,0,0.5,Duplicate
1480,Blackberries,Fruits,1 cup,142.81,2.04,0.7,13.51,68.75,0,1,0,1,1,1.0,Duplicate
1481,Egg Yolk,Protein,1 egg yolk,16.69,2.64,4.44,0.6,53.89,1,0,0,0,0,0.5,Duplicate
1482,Cooked Veal,Protein,3 small pieces,82.64,23.3,7.9,0.0,162.44,0,0,0,0,1,1.0,Duplicate
1483,Fried Pigeon,Protein,Palm-sized portion,97.1,27.88,4.23,0.0,149.45,0,0,0,0,0,0.0,Duplicate
1484,Cooked Oats,Grains,1 cup,213.01,7.1,1.94,25.27,145.1,1,1,0,1,0,0.75,Duplicate
1485,Nectarine,Fruits,1 medium one,135.45,1.44,0.4,14.07,67.13,0,1,0,1,1,0.5,Duplicate
1486,Corn Flour,Grains,1 cup,117.18,0.0,0.21,0.0,2.68,0,0,0,0,0,0.25,Duplicate
1487,Chicken,Protein,Palm-sized portion,84.53,17.8,2.65,0.0,93.77,0,0,0,0,1,0.5,Duplicate
1488,Dried Egg,Protein,1 tsp,4.97,2.37,2.16,0.1,29.35,1,0,0,0,0,0.0,Duplicate
1489,Honey,Grains,1 tbsp,21.36,0.06,0.0,17.8,71.57,0,1,0,1,0,0.5,Duplicate
1490,Goose Egg,Protein,1 egg,145.31,19.51,18.77,1.85,253.49,1,0,0,0,0,0.75,Duplicate
1491,Broccoli,Vegetables,1 cup,92.68,2.66,0.29,6.08,37.12,0,0,0,0,0,0.25,Duplicate
1492,Broccoli,Vegetables,1 cup,89.04,2.61,0.29,5.96,36.67,0,0,0,0,0,1.0,Duplicate
1493,Broasted Chicken Thigh,Protein,1 medium chicken thigh,83.48,22.4,11.24,0.0,188.82,1,0,1,0,1,0.5,Duplicate
1494,Brown Bread,Grains,1/4 loaf,28.55,3.53,0.91,11.37,67.04,1,1,0,1,0,0.5,Duplicate
1495,Boobar,Vegetables,1 cup,33.3,0.29,0.0,1.12,4.25,0,0,0,0,0,0.0,Duplicate
1496,Full-Fat Ricotta Cheese,Dairy,1 cup,126.22,13.78,16.08,3.72,215.59,0,0,0,0,0,0.5,Duplicate
1497,Butter Croissant,Grains,1 medium piece,56.01,4.67,11.96,26.5,230.85,1,1,0,1,0,0.75,Duplicate
1498,Garlic,Vegetables,3 cloves,8.88,0.59,0.0,3.0,15.39,0,0,0,0,0,0.0,Duplicate
1499,Grapefruit,Fruits,1/2 medium one,116.02,0.69,0.1,9.35,40.88,0,1,0,1,1,1.0,Duplicate
1500,Low-Fat Yogurt,Dairy,1 cup,227.45,11.74,3.47,16.37,142.42,1,0,0,0,0,0.75,Duplicate
1501,Brown Bread Roll,Grains,1 medium roll,35.01,0.0,0.0,0.0,0.94,1,1,1,1,0,0.5,Duplicate
1502,Corn Bran,Grains,1 cup,73.99,6.41,0.71,64.71,290.52,1,1,0,1,0,0.5,Duplicate
1503,Leek (Greens),Vegetables,4 tsp,39.75,1.01,0.0,6.86,32.01,1,0,0,0,0,0.0,Duplicate
1504,Rice (cooked),Grains,1 cup,159.87,4.37,0.44,45.42,203.9,1,1,0,1,0,0.75,Duplicate
1505,Grilled Yanam Fish,Protein,Palm-sized portion,98.08,26.21,5.6,0.0,155.17,0,0,0,0,1,0.5,Duplicate
1506,Roasted Duck with Skin,Protein,Palm-sized portion,82.71,16.36,24.4,0.0,285.71,1,0,0,0,1,0.25,Duplicate
1507,Coriander (Cilantro),Vegetables,9 sprigs,20.47,0.39,0.1,0.72,5.68,0,0,0,0,0,0.5,Duplicate
1508,Purslane,Vegetables,1 cup,41.86,0.6,0.0,1.5,7.09,0,0,0,0,0,0.25,Duplicate
1509,Chicken Liver,Protein,3 medium pieces,85.3,21.29,4.66,0.75,129.92,0,0,1,0,1,1.0,Duplicate
1510,Grape Leaves,Vegetables,1 cup,13.93,0.8,0.31,2.45,14.31,0,0,0,0,0,0.25,Duplicate
1511,Fried Sheri Fish,Protein,Palm-sized portion,97.56,25.45,7.0,0.0,164.13,0,0,0,0,1,1.0,Duplicate
1512,Red Snapper Fish,Protein,Palm-sized portion,83.46,22.49,1.49,0.0,102.1,0,0,0,0,1,0.5,Duplicate
1513,Sheri Fish (Emperor),Protein,Palm-sized portion,101.38,19.18,1.08,0.0,85.09,0,0,0,0,0,0.5,Duplicate
1514,Shrimp,Protein,5-6 pieces,98.57,19.93,0.78,0.0,88.69,0,0,0,0,1,0.25,Duplicate
1515,Low-Fat Ricotta Cheese,Dairy,1 cup,121.42,13.83,9.81,6.33,167.39,0,0,0,0,0,1.0,Duplicate
1516,Rice (cooked),Grains,1 cup,158.76,4.32,0.44,44.68,199.58,1,1,0,1,0,0.25,Duplicate
1517,French Bread (Baguette),Grains,1 small slice,32.49,3.79,0.59,17.79,90.0,1,1,0,1,0,0.5,Duplicate
1518,Green Hot Pepper,Vegetables,1 piece,44.52,0.91,0.1,4.37,22.81,0,0,0,0,0,0.25,Duplicate
1519,Feta Cheese,Dairy,2 tbsp,28.0,4.03,5.91,1.09,75.09,0,0,0,0,0,0.75,Duplicate
1520,Low-Fat Yogurt,Dairy,1 cup,228.84,12.22,3.58,15.89,145.31,1,0,0,0,0,0.0,Duplicate
1521,Plain Cake (Muffin),Grains,1 large size,65.83,4.5,7.28,27.0,193.39,1,1,0,1,0,0.75,Duplicate
1522,Medium-Soft Goat Milk Cheese,Dairy,2 tbsp,27.72,5.97,8.23,0.69,99.22,1,0,0,0,0,0.75,Duplicate
1523,White Flour,Grains,1 cup,122.58,12.24,1.2,93.04,432.7,1,0,0,0,0,1.0,Duplicate
1524,Cauliflower,Vegetables,1 cup,98.2,2.01,0.1,5.41,30.56,0,0,0,0,1,0.5,Duplicate
1525,Honey,Grains,1 tbsp,20.73,0.06,0.0,17.34,70.19,0,1,0,1,0,0.0,Duplicate
1526,Fried Shrimp,Protein,3-4 medium pieces,85.56,18.57,10.32,9.61,207.54,0,0,1,0,1,0.0,Duplicate
1527,Blueberries,Fruits,1 cup,141.64,1.11,0.5,20.5,89.67,0,1,0,1,1,0.25,Duplicate
1528,Kiwi,Fruits,1 medium one,77.89,0.91,0.41,11.37,51.19,0,1,0,1,1,0.25,Duplicate
1529,Feta Cheese,Dairy,2 tbsp,27.18,3.89,5.85,1.1,70.99,0,0,0,0,0,0.5,Duplicate
1530,White Bread,Grains,1/4 loaf,24.37,1.9,0.82,12.42,62.87,1,1,0,1,0,0.75,Duplicate
1531,Ta'ameya (Falafel),Vegetables,1 piece,17.26,2.26,2.98,5.3,55.93,1,0,0,0,0,0.5,Duplicate
1532,Sweet Potato,Vegetables,1 medium one,131.63,1.97,0.1,26.76,114.87,1,0,0,0,1,0.5,Duplicate
1533,Low-Fat Mozzarella Cheese,Dairy,2 tbsp,28.4,6.89,4.57,0.81,71.31,0,0,0,0,0,1.0,Duplicate
1534,Canned Sweetened Condensed Milk,Dairy,2 tbsp,38.86,2.97,3.38,21.06,126.4,1,0,0,0,0,0.75,Duplicate
1535,Grilled Gargafan Fish,Protein,Palm-sized portion,99.83,22.29,1.78,0.0,106.72,0,0,0,0,1,0.5,Duplicate
1536,Sour Pickled Cucumber,Vegetables,1 slice,7.02,0.02,0.01,0.16,0.36,0,0,0,0,0,0.75,Duplicate
1537,Broccoli,Vegetables,1 cup,89.83,2.56,0.3,6.1,35.7,0,0,0,0,0,0.25,Duplicate
1538,Cheese Biscuit,Grains,1 piece,0.97,0.1,0.25,0.6,4.24,1,1,1,1,0,0.5,Duplicate
1539,Quaker Oats prepared with water,Grains,1 cup,230.19,4.72,2.24,17.01,106.7,1,1,0,1,0,0.25,Duplicate
1540,Brown Sugar,Grains,1 tsp,3.04,0.0,0.0,2.87,12.85,1,1,0,1,0,0.5,Duplicate
1541,Plain Cake (Muffin),Grains,1 large size,66.02,4.51,7.34,26.27,191.13,1,1,0,1,0,0.5,Duplicate
1542,Margarine (Unsalted),Fats and Oils,1 tsp,4.82,0.02,3.71,0.02,35.34,1,0,0,0,0,0.25,Duplicate
1543,French Bread (Baguette),Grains,1 small slice,32.76,3.74,0.61,17.86,91.13,1,1,0,1,0,0.25,Duplicate
1544,Ta'ameya (Falafel),Vegetables,1 piece,17.26,2.32,2.96,5.47,56.49,1,0,0,0,0,1.0,Duplicate
1545,Cooked Noodles,Grains,1 cup,159.72,7.62,2.39,40.78,215.2,0,1,1,1,1,0.5,Duplicate
1546,Grated Parmesan Cheese,Dairy,1 tsp,5.15,1.86,1.41,0.2,22.09,0,0,0,0,0,1.0,Duplicate
1547,Milk Powder,Dairy,2 tbsp,31.18,8.48,8.6,12.3,158.77,0,0,0,0,0,0.0,Duplicate
1548,Grape Leaves,Vegetables,1 cup,13.95,0.82,0.29,2.33,15.83,0,0,0,0,0,0.25,Duplicate
1549,Fresh Corn,Vegetables,1/2 cup,139.95,3.6,1.0,38.16,174.13,1,0,0,0,0,0.5,Duplicate
1550,Wheat Grains/Berries,Grains,1 cup,188.52,0.0,0.0,0.0,0.68,1,1,0,1,0,0.25,Duplicate
1551,Green Beans,Vegetables,1 cup,112.2,2.01,0.1,7.79,38.87,1,0,0,0,1,0.75,Duplicate
1552,Dried Egg,Protein,1 tsp,4.87,2.34,2.22,0.1,30.72,1,0,0,0,0,0.75,Duplicate
1553,Lentils,Vegetables,1 cup,199.31,18.01,0.81,38.98,236.96,0,0,0,0,0,0.5,Duplicate
1554,Cottage Cheese < 5% Fat,Dairy,1 cup,223.64,23.36,0.72,15.0,159.03,1,0,0,0,0,0.75,Duplicate
1555,Banana,Fruits,1 medium one,121.28,1.3,0.4,26.79,115.56,0,1,0,1,1,1.0,Duplicate
1556,Cooked Oatmeal,Grains,1 cup,239.36,5.43,3.19,27.58,162.67,1,1,0,1,0,0.0,Duplicate
1557,Cauliflower,Vegetables,1 cup,98.39,2.03,0.1,5.29,30.18,0,0,0,0,1,0.5,Duplicate
1558,Medium-Soft Goat Milk Cheese,Dairy,2 tbsp,27.42,6.04,8.62,0.69,103.72,1,0,0,0,0,0.0,Duplicate
1559,Scrambled Egg with Milk,Protein,1 egg,60.18,6.79,7.49,1.26,98.3,1,0,1,0,0,0.25,Duplicate
1560,Orange Peel,Fruits,1 tsp,6.09,0.1,0.0,1.49,5.32,0,1,0,1,1,0.25,Duplicate
1561,Fried Ground Beef,Protein,2 tbsp,86.46,19.96,19.75,0.0,258.72,0,0,0,0,1,0.75,Duplicate
1562,Evaporated Milk,Dairy,6 tbsp,97.54,6.82,7.87,9.83,136.91,1,0,0,0,0,1.0,Duplicate
1563,Burger Bun,Grains,1 bun,43.49,4.03,1.91,21.75,121.21,0,1,1,1,0,0.0,Duplicate
1564,Yanam Fish (Seerfish/Mackerel),Protein,Palm-sized portion,101.0,18.13,10.55,0.0,168.95,0,0,0,0,0,0.5,Duplicate
1565,Baby Carrot,Vegetables,1 medium one,9.75,0.1,0.0,0.82,2.09,0,0,0,0,0,0.0,Duplicate
1566,Avocado,Fruits,1 cup (sliced),143.37,2.91,21.54,12.65,256.43,0,1,0,1,1,1.0,Duplicate
1567,Cooked Veal,Protein,3 small pieces,85.01,24.12,8.08,0.0,169.82,0,0,0,0,1,0.25,Duplicate
1568,Low-Fat Vanilla Yogurt,Dairy,1 cup,225.34,11.49,2.77,31.85,200.14,1,0,0,0,0,0.0,Duplicate
1569,Orange,Fruits,1 medium one,131.75,1.23,0.2,15.07,66.02,0,1,0,1,1,0.75,Duplicate
1570,Dried Egg,Protein,1 tsp,5.03,2.37,2.22,0.1,28.89,1,0,0,0,0,0.25,Duplicate
1571,Hamour Fish (Grouper),Protein,Palm-sized portion,100.91,19.7,3.33,0.2,109.8,0,0,0,0,0,0.25,Duplicate
1572,Evaporated Milk,Dairy,6 tbsp,99.13,7.18,7.76,9.45,134.39,1,0,0,0,0,0.5,Duplicate
1573,Soft Goat Milk Cheese,Dairy,2 tbsp,28.58,5.06,5.81,0.21,72.69,1,0,0,0,0,0.0,Duplicate
1574,Asparagus,Vegetables,1 cup,131.3,2.89,0.2,5.15,33.3,0,0,0,0,1,0.25,Duplicate
1575,Ghoj (Maybe Plum/Gojiberry),Fruits,1 medium one,64.72,0.5,0.2,7.4,33.01,0,1,0,1,1,0.25,Duplicate
1576,Low-Fat Vanilla Yogurt,Dairy,1 cup,220.67,11.18,2.75,32.06,197.56,1,0,0,0,0,0.0,Duplicate
1577,Cooked Oats,Grains,1 cup,217.33,6.98,1.91,25.05,145.14,1,1,0,1,0,1.0,Duplicate
1578,Canned Salmon,Protein,Palm-sized portion,82.68,17.24,6.36,0.0,125.19,0,0,0,0,0,0.0,Duplicate
1579,Cauliflower,Vegetables,1 cup,102.07,1.99,0.1,5.4,29.83,0,0,0,0,1,0.25,Duplicate
1580,Vegetable Salad,Vegetables,1 cup,101.62,0.92,1.83,4.44,38.74,0,0,1,0,0,0.75,Duplicate
1581,Cantaloupe,Fruits,1 cup (chunks),177.05,1.47,0.29,14.39,64.76,0,1,0,1,1,0.25,Duplicate
1582,Orange,Fruits,1 medium one,128.37,1.22,0.2,15.83,68.05,0,1,0,1,1,0.0,Duplicate
1583,Fried Chicken Breast,Protein,1/2 small chicken breast,85.43,27.72,3.92,0.42,146.19,0,0,1,0,1,0.25,Duplicate
1584,Yellow Beans,Vegetables,1 cup,175.67,16.44,1.91,44.39,258.79,1,0,0,0,0,0.25,Duplicate
1585,Tabbouleh,Vegetables,2 tbsp,28.37,0.98,1.99,1.95,28.19,0,0,0,0,1,0.5,Duplicate
1586,Oatmeal Flour,Grains,2 tbsp,28.76,3.61,1.77,19.07,106.2,1,1,0,1,0,0.5,Duplicate
1587,Halloumi Cheese,Dairy,1 cup,100.33,16.17,28.7,8.12,354.49,0,0,0,0,0,1.0,Duplicate
1588,Coriander (Cilantro),Vegetables,9 sprigs,19.74,0.39,0.1,0.7,3.75,0,0,0,0,0,0.5,Duplicate
1589,Sweet Potato,Vegetables,1 medium one,129.56,2.02,0.1,26.19,114.56,1,0,0,0,1,1.0,Duplicate
1590,Butter Croissant,Grains,1 medium piece,56.36,4.59,11.78,26.34,229.22,1,1,0,1,0,0.75,Duplicate
1591,Brown Sugar,Grains,1 tsp,3.08,0.0,0.0,2.92,10.05,1,1,0,1,0,1.0,Duplicate
1592,Gargafan Fish (Sea Bream),Protein,Palm-sized portion,99.72,19.68,3.6,0.41,113.21,1,0,0,0,1,0.5,Duplicate
1593,Green Hot Pepper,Vegetables,1 piece,44.43,0.9,0.1,4.22,19.78,0,0,0,0,0,0.5,Duplicate
1594,Sunflower Oil,Fats and Oils,1 tsp,13.53,0.0,13.87,0.0,124.2,0,0,0,0,0,0.25,Duplicate
1595,Fat-Free Milk,Dairy,1 cup,240.74,8.08,0.2,12.21,83.62,1,0,0,0,0,0.0,Duplicate
1596,Baby Carrot,Vegetables,1 medium one,10.09,0.1,0.0,0.8,2.64,0,0,0,0,0,1.0,Duplicate
1597,Broasted Chicken Breast,Protein,1/2 small chicken breast,85.59,26.92,3.0,0.0,135.38,1,0,1,0,1,0.25,Duplicate
1598,White Flour,Grains,1 cup,122.17,12.12,1.2,92.81,431.4,1,0,0,0,0,0.75,Duplicate
1599,Cooked Oatmeal,Grains,1 cup,235.85,5.48,3.27,27.45,162.16,1,1,0,1,0,0.5,Duplicate
1600,Dates,Fruits,4 pieces,31.71,0.8,0.1,23.62,98.97,0,1,0,1,1,0.25,Duplicate
1601,Red Snapper Fish,Protein,Palm-sized portion,85.36,22.99,1.45,0.0,106.23,0,0,0,0,1,0.25,Duplicate
1602,Canned Olive,Vegetables,1 piece,8.35,0.08,0.58,0.48,7.71,0,0,0,0,0,0.5,Duplicate
1603,Banana Chips,Fruits,2 tbsp,27.47,0.6,9.43,16.05,152.32,0,1,0,1,1,1.0,Duplicate
